,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
13332,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Wicklow,Number,1.0
13333,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Limerick,Number,2.0
13334,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Waterford,Number,0.0
13335,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Tipperary,Number,0.0
13336,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Cork,Number,2.0
13337,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Dublin,Number,28.0
13338,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,All licensing authorities,Number,38.0
13339,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Carlow,Number,0.0
13340,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Cavan,Number,1.0
13341,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Clare,Number,0.0
13342,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Donegal,Number,0.0
13343,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Galway,Number,0.0
13344,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Kerry,Number,1.0
13345,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Kildare,Number,0.0
13346,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Kilkenny,Number,0.0
13347,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Laois,Number,1.0
13348,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Leitrim,Number,0.0
13349,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Longford,Number,0.0
13350,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Louth,Number,1.0
13351,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Mayo,Number,0.0
13352,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Meath,Number,0.0
13353,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Monaghan,Number,1.0
13354,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Offaly,Number,1.0
13355,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Roscommon,Number,1.0
13356,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Not available,Sligo,Number,1.0
